praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
40.7,14.5,2.37,1.0,26.4,23.3,54.7,813.0,15.5,21.9,16.5
56.7,31.6,9.31,2.89,25.7,49.1,104.0,698.0,3.4,4.45,1.0
86.6,125.0,8.28,10.6,47.0,73.7,170.0,3134.0,21.1,63.2,25.7
27.6,17.8,5.94,6.21,32.8,57.8,110.0,1084.0,6.15,27.4,93.1
63.8,23.7,20.9,17.5,12.1,34.0,52.3,355.0,26.7,51.4,33.4
31.9,20.5,1.79,165.0,72.3,17.2,33.1,723.0,15.5,37.2,79.1
48.3,18.3,2.31,2.09,18.3,16.0,24.8,392.0,24.8,57.3,23.5
43.3,15.1,1.0,1.32,6.1,44.9,78.4,1685.0,10.0,34.6,14.2
23.9,18.1,6.1,7.23,17.2,10.0,41.8,5.67,19.6,28.1,9.14
26.7,19.5,1.0,1.12,11.2,41.4,71.7,791.0,19.8,36.5,26.2
59.4,17.6,3.65,4.78,26.9,49.6,113.0,882.0,12.4,30.5,8.58
8.13,24.4,12.4,1.03,21.7,28.6,193.0,62.1,11.2,40.0,108.0
56.7,26.9,1.01,2.69,15.7,12.2,28.6,259.0,15.3,35.2,4.7
73.0,30.2,6.49,3.46,1.0,13.3,78.4,757.0,6.73,38.5,27.4
40.7,16.7,1.45,5.19,4.07,17.3,63.8,2054.0,3.13,18.6,65.5
46.6,15.0,6.04,4.03,3.25,2.5,2.39,36.2,18.1,43.3,8.82
47.8,24.4,1.32,1.0,3.65,12.9,24.1,474.0,15.4,24.1,10.5
20.0,21.5,3.37,1.0,21.7,16.1,38.2,615.0,20.0,39.2,50.9
24.4,17.3,1.06,40.7,13.8,14.5,26.2,286.0,14.9,29.7,12.2
19.8,16.4,3.25,6.98,16.0,46.1,95.6,487.0,2.71,92.2,5.52
64.9,32.8,4.91,1.09,1.58,14.2,23.5,429.0,12.1,43.3,7.3
53.8,38.5,1.45,255.0,52.3,28.9,61.5,422.0,10.9,26.9,5.83
75.7,31.1,5.23,1.01,18.1,10.8,32.2,483.0,2.74,12.0,54.7
87.4,44.1,1.0,1.0,13.8,13.1,32.8,235.0,38.2,75.7,34.3
41.4,21.9,20.7,2.55,18.8,10.0,26.7,414.0,3.46,19.1,30.0
44.5,25.9,13.1,6.67,17.6,86.6,165.0,1928.0,14.5,32.5,19.6
46.1,18.8,2.57,1.98,14.5,44.5,109.0,567.0,24.4,34.0,14.2
54.7,26.9,4.33,2.71,11.1,20.5,85.1,1322.0,17.0,35.9,15.1
119.0,39.2,1.0,6.26,21.7,55.7,149.0,1346.0,12.5,36.8,5.73
11.7,30.8,2.84,6.32,10.6,66.1,86.6,922.0,1.51,21.7,80.6
75.7,51.9,7.23,167.0,19.1,30.0,93.1,1860.0,1.78,30.5,39.6
57.3,22.5,2.11,2.55,7.64,26.9,48.3,313.0,21.3,52.8,20.4
16.4,21.5,5.52,3.85,22.7,12.2,69.8,1582.0,2.48,17.6,96.5
57.3,29.4,5.09,4.22,17.6,8.74,34.3,649.0,9.82,26.9,16.5
56.7,34.0,1.0,7.64,10.6,29.2,88.2,1611.0,5.57,34.0,106.0
89.0,58.8,4.96,1.0,11.2,14.3,28.1,319.0,2.39,19.1,70.4
47.4,25.7,6.49,1.95,1.0,60.4,176.0,1252.0,37.5,91.4,39.6
51.9,13.1,9.14,1.79,4.91,30.2,74.3,698.0,22.5,76.4,39.2
27.4,10.9,2.86,4.1,5.88,68.5,129.0,1459.0,20.2,35.9,8.9
83.5,33.7,1.42,1.01,12.5,74.3,119.0,466.0,11.9,31.9,6.1
13.8,12.4,13.9,7.3,12.9,5.42,16.1,588.0,15.3,42.2,10.7
59.9,20.5,6.92,1.0,18.1,15.0,28.6,313.0,23.5,66.1,18.1
56.2,20.9,8.43,2.86,1.93,25.0,54.7,1155.0,9.56,46.6,73.7
108.0,27.9,10.9,7.57,7.7,42.2,120.0,922.0,25.3,50.9,10.9
29.7,23.9,12.2,77.0,31.6,82.8,164.0,1827.0,20.5,30.8,17.3
62.1,17.3,5.0,1.01,2.07,17.8,36.5,271.0,13.0,27.9,7.1
47.0,20.4,6.98,3.85,12.4,8.98,20.2,474.0,44.5,129.0,44.1
88.2,84.3,4.87,1.01,6.79,28.9,40.0,956.0,31.1,66.1,26.9
38.2,20.4,15.1,4.91,19.8,45.7,138.0,2227.0,16.7,43.7,73.0
38.2,22.5,2.62,1.0,16.5,32.8,82.8,1165.0,3.49,20.9,44.5
61.0,31.1,1.89,1.0,28.9,50.9,82.0,538.0,7.5,18.8,10.4
20.9,15.8,1.04,1.3,17.9,16.4,24.4,262.0,25.5,53.8,28.6
52.8,26.9,17.0,1.15,35.9,8.74,31.1,717.0,15.7,28.1,21.9
64.4,19.8,6.61,1.42,10.7,28.4,40.0,334.0,3.02,21.5,62.1
48.7,18.3,6.79,1.01,13.5,11.5,22.9,359.0,21.3,42.6,29.7
58.3,15.5,5.94,1.25,2.97,25.0,52.3,365.0,2.09,24.8,74.3
62.6,16.3,5.28,2.64,1.0,23.7,44.9,173.0,20.7,31.9,21.1
62.1,24.8,2.86,1.01,12.1,74.3,145.0,730.0,16.1,35.9,5.83
29.4,38.9,3.92,1.19,4.22,5.78,30.0,914.0,37.5,66.7,19.5
139.0,50.0,1.0,2.59,11.4,18.4,44.1,292.0,17.5,47.4,118.0
173.0,164.0,7.57,1.0,3.52,14.3,26.7,491.0,1.18,704.0,77.0
21.7,20.0,7.04,1.0,1.88,27.6,52.3,346.0,14.7,35.5,17.3
71.7,30.5,1.0,2.74,11.9,53.3,151.0,1176.0,25.5,45.7,17.8
70.4,33.4,4.57,2.74,7.23,11.8,14.1,359.0,46.6,84.3,36.2
19.3,32.5,10.4,3.28,14.9,14.6,19.1,491.0,17.2,23.5,10.8
58.3,33.7,9.47,4.41,14.3,7.04,28.4,478.0,17.9,35.9,12.2
77.0,24.1,8.9,1.01,18.3,16.7,63.2,1252.0,15.3,33.4,6.92
75.0,24.1,1.0,2.09,15.8,68.5,132.0,2288.0,5.94,33.1,138.0
34.6,19.8,1.0,6.92,17.8,16.7,31.3,294.0,25.5,83.5,30.0
82.0,33.7,1.32,3.16,12.9,41.4,93.1,757.0,27.4,79.1,38.9
55.2,27.4,3.46,2.59,18.3,19.6,32.5,213.0,25.7,67.3,66.7
93.1,62.6,1.06,6.98,2.02,6.32,37.2,500.0,1.93,19.1,57.8
151.0,153.0,9.73,1.01,21.9,67.9,132.0,2571.0,90.6,114.0,25.5
93.1,66.1,2.44,6.21,2.5,66.1,129.0,1877.0,4.37,20.9,57.8
54.2,25.3,8.58,3.02,27.6,18.6,34.9,274.0,3.92,18.9,85.8
113.0,57.8,11.7,3.62,20.0,44.5,76.4,509.0,4.53,23.9,160.0
42.9,36.8,5.57,3.59,8.82,26.4,102.0,1446.0,17.6,30.2,15.8
26.4,14.1,10.7,5.99,5.62,8.06,17.5,392.0,16.3,45.7,15.5
138.0,176.0,14.2,1.0,7.3,38.2,58.8,246.0,63.2,87.4,16.5
48.3,26.4,2.67,6.49,18.3,90.6,248.0,914.0,5.88,51.9,119.0
54.2,19.1,5.42,2.11,29.7,104.0,346.0,2813.0,14.1,17.3,2.41
77.0,51.9,1.33,3.4,17.3,53.8,91.4,813.0,18.6,27.6,10.8
10.6,24.6,2.21,8.2,10.0,15.0,50.5,562.0,17.2,48.7,10.2
78.4,39.6,6.1,1.01,12.9,16.7,48.7,123.0,18.3,37.2,6.26
60.4,29.7,10.5,1.0,1.0,27.6,50.9,626.0,37.5,79.9,44.5
24.8,33.4,1.33,1.55,2.25,41.8,122.0,698.0,16.7,44.1,95.6
54.2,10.5,2.11,1.01,22.9,6.04,19.6,422.0,10.4,23.9,3.75
103.0,30.0,3.28,4.45,8.2,50.0,80.6,1382.0,1.73,19.1,79.9
16.8,23.9,5.99,4.91,14.3,6.98,52.3,547.0,1.25,10.0,46.1
84.3,40.3,6.79,1.01,17.6,19.6,37.5,246.0,13.7,35.5,78.4
56.7,38.2,2.11,2.53,12.9,16.7,38.5,523.0,30.0,69.2,42.9
49.1,29.2,2.53,1.42,5.73,18.6,48.7,1165.0,27.9,40.7,21.9
2.15,12.3,3.75,1.81,16.7,25.3,82.0,1000.0,19.1,39.2,10.9
139.0,48.7,6.04,1.0,31.3,11.5,34.3,87.4,12.7,29.7,14.2
48.3,23.9,6.26,6.04,10.6,18.3,44.5,710.0,2.69,19.1,47.4
10.1,16.3,5.38,1.23,21.1,13.5,34.6,289.0,26.2,51.4,22.7
82.0,62.1,3.96,1.08,13.6,2.59,30.2,27.9,2.39,17.8,84.3
12.0,17.2,4.83,3.85,2.29,5.83,23.5,931.0,55.7,99.1,26.4
28.1,17.6,1.63,1.01,17.2,19.1,28.1,221.0,42.2,114.0,73.7
87.4,20.5,4.18,1.03,1.36,59.4,161.0,1084.0,17.8,35.5,14.1
91.4,32.5,4.57,1.0,9.73,17.2,36.2,305.0,24.1,62.6,31.3
10.6,1.58,6.85,4.26,12.0,25.9,61.0,898.0,32.2,75.7,40.3
102.0,33.7,6.15,1.72,16.8,113.0,331.0,3078.0,12.6,31.3,13.6
33.4,17.9,5.83,1.0,13.1,6.67,40.0,313.0,5.57,28.6,67.9
55.7,40.3,15.0,1.02,21.7,69.2,130.0,1395.0,23.7,34.9,8.43
90.6,37.2,2.69,1.24,4.91,8.82,22.7,519.0,11.9,18.3,14.1
74.3,26.4,6.49,1.35,14.7,11.0,31.6,965.0,18.8,33.4,15.5
46.1,48.3,3.43,1.68,12.0,32.8,95.6,552.0,2.76,33.4,99.1
153.0,119.0,2.89,1.0,22.5,13.7,20.7,453.0,10.6,25.3,14.2
19.8,15.4,3.96,7.1,4.37,19.5,36.5,474.0,18.4,38.2,7.91
40.3,23.7,8.06,1.0,16.5,7.43,31.3,1094.0,13.6,30.2,11.0
31.6,16.4,1.0,2.25,1.01,21.3,47.4,1075.0,22.9,61.0,21.7
15.0,21.1,5.23,3.55,12.6,46.1,109.0,2548.0,2.25,5.42,5.83
77.7,21.1,14.3,2.84,28.4,27.4,44.1,205.0,12.1,23.3,12.2
58.3,23.5,5.28,9.73,29.2,20.4,44.9,649.0,10.1,22.7,14.5
50.5,24.4,4.18,1.19,12.3,17.3,45.3,1407.0,13.7,35.9,12.9
123.0,68.5,1.73,1.33,5.67,18.1,36.2,382.0,9.91,18.9,9.91
55.2,16.7,1.0,1.0,8.28,30.2,111.0,1407.0,4.74,12.6,76.4
82.8,27.6,1.0,2.17,15.0,5.52,22.3,487.0,16.1,39.6,6.79
46.6,9.31,1.0,5.73,19.1,23.9,40.0,308.0,12.2,28.9,4.29
66.1,71.7,5.09,2.44,21.1,43.3,108.0,1911.0,38.2,84.3,27.4
51.4,24.8,18.8,9.82,25.7,24.1,47.8,1114.0,3.28,18.9,56.7
61.0,22.7,4.18,5.0,1.61,12.7,22.9,221.0,16.1,30.5,13.8
95.6,43.3,1.0,1.93,16.3,9.06,37.9,578.0,16.8,34.6,21.1
42.9,26.9,1.01,1.23,11.5,26.2,34.0,340.0,13.9,26.2,12.1
86.6,53.8,1.0,4.37,20.2,45.3,130.0,1000.0,32.5,59.4,17.6
73.7,34.6,3.11,158.0,32.5,25.3,44.9,264.0,2.53,15.8,64.9
106.0,46.6,2.57,2.97,22.5,10.1,37.5,610.0,1.0,55.2,4.0
18.8,25.7,5.47,3.92,31.9,10.2,15.7,352.0,11.9,40.7,33.7
27.6,34.6,1.0,1.01,12.2,5.88,16.1,385.0,14.9,23.7,15.8
63.2,71.7,8.43,1.96,34.6,73.0,179.0,1625.0,15.5,29.4,10.9
47.8,34.0,7.57,2.84,24.4,21.5,42.9,257.0,11.5,33.1,9.47
74.3,24.4,2.21,1.98,16.0,67.9,121.0,227.0,7.5,18.9,83.5
93.9,40.3,5.14,2.81,33.4,18.8,39.6,241.0,22.5,35.2,15.8
62.1,20.2,7.77,1.0,11.8,31.9,47.4,235.0,27.1,73.7,18.8
89.8,42.9,8.06,1.0,9.39,20.0,28.4,400.0,28.1,63.8,24.4
55.7,62.6,2.19,5.52,34.6,11.0,78.4,2763.0,48.3,102.0,41.8
90.6,31.6,18.4,5.14,29.7,27.6,48.7,193.0,38.9,85.8,57.8
13.1,31.1,11.0,1.0,21.9,11.5,27.1,400.0,2.46,23.9,68.5
66.7,23.7,3.28,1.0,20.4,9.22,53.3,828.0,13.8,52.8,130.0
15.8,25.7,1.27,3.08,16.7,37.2,61.0,414.0,19.6,31.3,12.3
17.2,37.2,14.1,3.31,28.9,13.5,31.6,491.0,26.4,77.7,29.7
90.6,45.3,12.0,1.01,30.5,28.1,48.3,229.0,1.45,48.7,3.89
14.1,11.5,3.19,1.0,20.9,12.4,126.0,189.0,23.3,34.3,17.6
85.8,21.3,1.57,1.41,5.05,63.2,181.0,1731.0,23.7,50.5,150.0
61.0,17.6,1.6,1.05,4.78,34.6,66.1,410.0,44.1,121.0,90.6
132.0,172.0,2.15,2.25,8.66,16.4,33.1,426.0,38.2,64.9,21.9
62.6,37.9,1.18,1.95,14.5,17.3,32.8,372.0,1.02,26.7,52.8
44.1,40.3,1.54,1.0,20.2,70.4,126.0,615.0,31.1,74.3,40.0
107.0,129.0,15.8,1.03,10.9,49.6,99.1,1298.0,28.4,50.9,31.1
54.2,14.9,9.39,1.0,13.5,35.2,101.0,813.0,13.2,40.3,21.5
33.1,26.4,2.17,1.0,14.6,21.7,41.0,947.0,7.04,27.1,9.39
23.5,18.6,4.91,2.0,6.55,23.5,66.1,2187.0,19.5,31.1,6.38
57.3,28.9,1.01,5.52,5.88,19.5,34.3,215.0,3.0,16.1,68.5
61.0,19.6,2.74,1.06,12.3,12.4,26.9,300.0,4.57,10.4,69.8
38.9,17.9,2.0,3.19,25.7,4.53,28.1,685.0,27.6,56.2,21.5
97.3,47.0,1.0,2.15,26.7,38.2,137.0,2017.0,17.8,37.2,22.7
118.0,104.0,16.8,2.13,16.5,27.6,38.9,403.0,30.0,51.9,17.5
53.3,28.9,4.45,3.43,18.3,9.06,21.7,470.0,13.2,27.6,8.2
445.0,89.8,1.01,3.62,14.1,12.1,34.6,931.0,22.3,45.3,11.0
38.2,15.4,6.1,3.68,29.7,10.5,31.3,604.0,32.8,85.1,27.1
56.7,25.9,1.83,3.96,21.7,13.5,26.2,698.0,22.3,53.8,4.26
75.0,54.2,11.2,2.09,12.0,17.3,34.6,519.0,5.78,37.5,154.0
19.6,27.4,5.88,1.0,29.4,42.6,89.8,1275.0,40.0,93.1,51.9
59.4,30.5,4.7,1.53,12.9,29.2,75.7,267.0,15.0,24.4,4.57
72.3,15.1,7.43,5.83,31.1,20.2,33.7,302.0,34.9,73.7,35.2
49.6,25.0,3.85,1.1,17.2,4.26,6.98,181.0,3.89,20.9,90.6
85.8,37.5,1.0,1.01,9.14,45.7,70.4,225.0,28.9,73.0,50.0
46.6,17.3,6.98,1.18,2.81,117.0,223.0,528.0,25.7,36.8,29.7
67.9,35.5,5.47,1.89,14.1,18.1,131.0,129.0,19.1,47.4,18.9
28.9,22.9,1.31,1.0,6.73,11.8,30.8,496.0,14.3,37.2,9.56
96.5,60.4,1.76,1.14,9.14,31.3,158.0,1084.0,36.2,67.3,33.1
77.7,26.4,2.46,5.0,10.1,46.6,65.5,292.0,15.4,42.2,22.1
40.7,19.1,1.55,3.96,4.03,27.9,46.1,281.0,23.7,30.8,27.4
73.0,43.7,3.59,1.0,18.8,131.0,231.0,1186.0,9.14,18.1,11.7
37.9,21.3,5.28,1.01,18.9,37.2,56.2,292.0,3.46,9.82,59.9
88.2,45.3,11.1,1.0,17.8,37.5,75.0,1186.0,37.5,64.4,14.9
15.4,23.7,4.91,1.0,2.25,34.3,62.6,1778.0,19.3,51.4,21.9
72.3,50.0,5.28,1.01,25.0,34.3,90.6,1322.0,33.4,65.5,27.6
85.1,23.5,8.74,1.01,18.6,8.28,23.3,717.0,4.18,9.73,4.14
18.3,14.2,3.85,7.99,18.4,50.9,105.0,1009.0,37.9,56.2,23.1
62.6,25.5,7.1,1.06,3.34,21.7,34.0,300.0,7.43,38.9,54.7
8.2,17.9,1.03,1.55,21.7,41.8,106.0,1747.0,29.2,51.9,16.7
88.2,29.7,13.8,3.25,13.2,31.6,58.8,667.0,22.3,45.7,13.8
10.8,23.5,7.37,10.1,12.2,19.1,43.3,1018.0,15.1,23.9,18.3
54.7,24.6,6.92,1.15,17.8,47.0,95.6,1877.0,1.0,1.0,7.7
57.3,23.7,7.1,9.65,9.22,44.9,126.0,1186.0,3.49,18.4,77.7
28.1,44.1,1.08,3.62,9.65,43.7,87.4,552.0,12.7,25.5,6.73
21.1,15.8,7.43,2.48,21.5,13.8,36.2,784.0,25.3,45.3,82.0
78.4,57.8,5.57,1.0,2.89,5.38,17.8,704.0,18.8,29.2,8.9
6.98,28.4,9.73,1.0,6.85,34.6,66.1,355.0,23.3,42.6,22.9
65.5,22.5,1.0,1.01,11.5,61.0,95.6,956.0,14.9,30.0,21.1
58.3,24.6,4.0,4.96,24.1,5.94,34.3,874.0,4.14,16.8,109.0
16.1,15.3,1.11,1.0,14.3,10.5,48.3,1762.0,4.22,20.5,50.9
34.0,29.4,3.22,2.76,9.14,19.1,30.0,441.0,20.0,45.7,13.6
14.3,16.8,1.81,5.73,27.6,12.9,33.7,523.0,47.8,106.0,58.8
68.5,28.6,1.86,1.91,1.0,20.5,41.4,305.0,26.4,58.8,32.5
63.2,29.2,2.46,1.91,1.42,25.7,54.7,337.0,33.1,79.1,31.6
100.0,57.3,6.21,1.24,26.7,23.5,34.6,308.0,12.7,22.5,2.07
103.0,41.4,6.04,10.5,12.9,5.73,22.1,500.0,21.1,44.1,24.4
62.1,22.5,10.7,1.68,17.5,91.4,165.0,470.0,11.9,25.9,15.3
81.3,47.4,1.08,1.0,9.06,7.64,35.2,743.0,19.3,39.6,21.3
69.8,19.6,1.0,7.7,16.0,74.3,161.0,737.0,12.9,32.5,13.7
42.9,20.9,4.7,1.25,26.2,24.1,65.5,806.0,3.16,12.6,85.8
72.3,75.0,3.0,1.98,6.55,54.2,118.0,1027.0,27.9,67.3,27.1
47.8,18.9,6.85,5.23,2.94,35.5,74.3,906.0,24.4,71.7,19.6
73.0,40.0,5.73,1.01,31.6,34.0,84.3,1685.0,3.55,30.0,93.1
46.1,35.9,11.3,1.27,11.9,37.2,97.3,764.0,17.2,42.2,11.7
9.47,4.57,1.47,5.05,4.18,311.0,644.0,1946.0,13.1,30.2,13.3
75.0,28.4,6.67,7.17,18.4,13.2,139.0,132.0,17.5,39.6,8.74
25.9,42.2,2.86,1.01,21.3,11.0,25.9,429.0,25.0,43.3,5.47
40.0,30.5,10.6,35.2,34.3,33.7,95.6,2666.0,24.8,42.6,13.1
51.9,17.8,1.0,1.01,10.3,36.2,72.3,2091.0,8.2,17.3,32.8
95.6,61.5,11.2,1.01,38.5,18.4,53.8,483.0,3.34,8.28,40.7
49.6,18.1,10.9,2.33,25.0,20.2,35.2,355.0,13.8,25.9,7.91
359.0,365.0,13.3,1.0,32.2,11.2,20.4,491.0,13.5,39.2,13.6
71.0,47.4,2.97,3.11,16.5,27.6,35.2,241.0,1.0,68.5,4.29
62.1,37.9,1.5,1.0,10.4,67.3,135.0,730.0,11.1,21.7,8.2
4.18,21.9,4.49,2.23,15.4,46.6,97.3,2035.0,21.7,45.3,19.1
14.2,7.1,10.6,4.14,9.91,34.0,55.2,308.0,21.5,64.4,21.7
73.0,22.1,9.31,1.01,12.4,28.4,38.2,349.0,13.7,31.3,17.2
23.9,22.5,2.27,2.57,13.8,46.6,82.8,588.0,1.7,53.8,2.0
15.7,16.3,5.38,93.9,22.7,32.5,66.1,655.0,42.2,107.0,34.6
36.2,39.6,1.86,5.42,1.0,40.3,101.0,1219.0,35.2,77.0,32.2
69.8,21.9,9.47,1.01,17.3,24.6,61.0,297.0,9.73,28.9,13.1
48.3,19.1,5.83,1.01,16.4,41.4,130.0,799.0,30.5,55.2,25.0
138.0,125.0,6.85,2.55,9.31,9.06,5.38,133.0,18.9,38.5,3.4
62.1,39.2,4.66,3.37,8.13,28.1,69.2,1275.0,28.4,50.9,14.2
63.8,24.1,1.01,3.13,26.7,15.5,73.7,2110.0,1.0,2.94,3.16
95.6,52.3,5.99,1.0,30.8,6.38,20.2,26.4,23.7,31.6,29.2
7.84,26.2,10.0,8.43,16.7,7.37,14.6,248.0,13.2,23.1,30.5
50.0,17.3,1.0,3.34,20.7,14.9,34.0,316.0,18.1,52.8,33.4
12.0,12.4,4.66,1.0,3.08,26.7,65.5,982.0,30.5,38.2,9.31
71.7,30.5,11.8,1.01,16.0,34.0,58.8,567.0,24.1,50.0,23.3
17.8,24.6,1.23,1.01,13.0,8.82,23.5,843.0,11.3,44.9,86.6
34.3,30.0,1.0,1.0,19.8,58.8,114.0,882.0,23.3,56.7,44.1
27.1,24.8,14.6,2.39,23.9,12.3,71.0,1420.0,2.33,22.9,77.0
55.7,34.9,1.75,3.92,5.62,44.5,79.9,1055.0,26.9,45.7,17.5
70.4,32.8,1.04,1.88,8.74,20.4,43.3,730.0,12.4,21.3,1.0
54.7,28.1,1.15,4.61,26.4,28.1,46.1,375.0,51.9,67.9,1.67
30.2,24.6,6.67,1.79,1.0,20.5,43.3,491.0,2.29,6.85,4.18
7.43,29.4,8.51,1.42,4.78,37.9,97.3,1700.0,6.73,12.6,5.52
42.2,40.0,3.96,1.0,13.2,29.4,47.0,474.0,25.5,47.4,21.9
29.4,22.1,3.85,3.68,7.04,29.4,73.7,1176.0,10.1,25.7,14.2
130.0,117.0,7.77,1.06,27.1,34.6,58.8,418.0,3.46,20.0,95.6
97.3,51.4,7.91,2.05,13.6,14.1,29.4,491.0,91.4,139.0,28.1
77.0,91.4,1.54,1.0,17.6,31.1,36.5,316.0,14.9,36.8,8.58
26.2,15.5,7.7,3.79,17.5,14.7,36.2,372.0,7.17,8.66,1.0
44.1,15.3,3.43,2.41,5.88,17.5,43.3,349.0,35.5,83.5,37.9
61.0,32.2,3.22,1.0,11.3,22.7,45.7,281.0,9.31,18.4,5.52
82.8,50.5,8.2,1.96,18.1,32.8,55.2,422.0,18.1,33.1,13.0
120.0,35.9,4.91,2.97,16.7,18.8,34.0,372.0,16.0,34.0,6.04
51.9,46.1,13.2,1.01,18.4,6.73,13.0,474.0,24.4,50.5,77.7
18.4,18.1,6.49,1.0,9.73,8.2,25.3,547.0,8.35,25.5,2.44
154.0,53.8,6.44,1.0,6.21,33.7,57.8,1165.0,13.9,13.8,6.92
47.0,27.1,5.83,1.01,14.1,11.3,39.6,723.0,29.4,48.3,27.6
92.2,31.6,7.77,1.58,4.83,17.5,24.1,655.0,19.8,40.7,5.83
64.9,24.6,4.33,1.0,17.5,6.1,19.1,757.0,26.4,50.5,10.0
37.9,18.4,4.33,1.25,12.0,34.0,100.0,914.0,6.44,30.8,108.0
37.5,29.7,1.81,1.01,5.62,27.9,50.0,289.0,14.7,28.1,1.0
63.2,34.6,5.52,2.41,24.8,17.8,32.8,717.0,15.4,25.9,17.6
8.98,22.1,7.99,3.62,7.43,78.4,145.0,673.0,6.85,19.8,1.0
42.9,15.0,1.15,1.01,22.5,5.19,19.8,588.0,32.2,59.9,14.3
69.8,20.4,5.23,1.01,2.84,56.7,127.0,698.0,16.7,32.8,17.6
12.9,20.4,3.19,1.01,8.2,8.66,31.9,655.0,18.8,31.3,11.7
106.0,24.1,4.53,1.01,17.9,61.5,111.0,1670.0,32.8,79.9,26.7
59.9,23.7,1.6,3.02,16.5,17.6,42.2,269.0,18.9,41.8,18.1
